FLAG_REASON,CASE_KEY,DELIVERY_COMPANY,PRODUCT_TYPE,FACTORY,ORDERED_QUANTITY,DELIVERED_QUANTITY,MIN_ORDER_TOLERANCE,MAX_ORDER_TOLERANCE,CUST_MARKET,CUST_ID,CUST_NAME,CUST_ADDR_CODE,DAYS_TO_DEL_DEADLINE,ORDER_TOLERANCE_MET,ORDER_DATE_MET,X_CEL_O2C_CASES.SAL_ORD_POS_QUAN,DELIVERED_QUANTITY_UNIT,WAREHOUSE_TYPE,DELIVERED_DATE,PROMISED_DATE,CUST_COUNTRY,ORDER_VALUE,UNIT_PRICE,TOL_LOWER,TOL_UPPER,IS_TOL_VIOLATION,OUTSIDE_TOL_QTY,DELTA_DAYS,IS_LATE,IS_OTIF_FAIL,VALUE_REL_ERR
VALUE_REL_ERR>0.10,63434693,UPS,Crates,Essen,99790.0,105670.0,0.0,5.0,Transportation,01653,Schweizer,1,-2,0,1,1645,kg,Non-automated,2018-12-26 00:00:01,2018-12-24 00:00:01,US,6334.273,4.48,99790.0,104779.5,True,890.5,2,True,True,0.9866196628824238
VALUE_REL_ERR>0.10,63434691,UPS,Crates,Essen,99790.0,102725.0,0.0,5.0,Transportation,01653,Schweizer,1,-7,0,1,2710,kg,Non-automated,2018-12-12 00:00:01,2018-12-05 00:00:01,US,10435.189,4.48,99790.0,104779.5,False,0.0,7,True,True,0.9773250595382957
VALUE_REL_ERR>0.10,69514391,DHL,Crates,Essen,100000.0,105950.0,0.0,5.0,Transportation,01653,Schweizer,1,18,0,0,2870,kg,Non-automated,2019-03-29 00:00:01,2019-04-16 00:00:01,US,11143.353,4.43,100000.0,105000.0,True,950.0,-18,False,True,0.976258333448739
VALUE_REL_ERR>0.10,63472992,UPS,Crates,Essen,100000.0,107940.0,0.0,5.0,Transportation,01653,Schweizer,1,8,0,0,3340,kg,Non-automated,2018-11-05 00:00:01,2018-11-13 00:00:01,US,12896.026,4.48,100000.0,105000.0,True,2940.0,-8,False,True,0.9733316913827788
VALUE_REL_ERR>0.10,63472993,UPS,Crates,Essen,100000.0,101400.0,0.0,5.0,Transportation,01653,Schweizer,1,7,0,0,3295,kg,Non-automated,2018-11-15 00:00:01,2018-11-22 00:00:01,US,12722.279,4.48,100000.0,105000.0,False,0.0,-7,False,False,0.9719941378733447
VALUE_REL_ERR>0.10,69514093,DHL,Crates,Essen,100000.0,103500.0,0.0,5.0,Transportation,01653,Schweizer,1,-8,0,1,3400,kg,Non-automated,2019-05-01 00:00:01,2019-04-23 00:00:01,US,13201.179,4.43,100000.0,105000.0,False,0.0,8,True,True,0.9712082114698858
VALUE_REL_ERR>0.10,69505092,UPS,Crates,Essen,21000.0,22185.0,0.0,10.0,Transportation,8373,Arnold,1,0,0,1,910,kg,Non-automated,2019-05-24 00:00:01,2019-05-24 00:00:01,DE,3503.5,3.85,21000.0,23100.000000000004,False,0.0,0,False,False,0.958981293666892
VALUE_REL_ERR>0.10,69566292,DHL,Crates,Essen,99790.0,100860.0,0.0,5.0,Transportation,01653,Schweizer,1,0,0,1,5265,kg,Non-automated,2019-03-22 00:00:01,2019-03-22 00:00:01,US,20747.531,4.5,99790.0,104779.5,False,0.0,0,False,False,0.9542875030295018
VALUE_REL_ERR>0.10,63408294,UPS,Crates,Essen,99800.0,73380.0,0.0,5.0,Transportation,01653,Schweizer,1,-6,0,1,4495,kg,Non-automated,2019-02-21 00:00:01,2019-02-15 00:00:01,US,17847.056,4.61,99800.0,104790.0,True,26420.0,6,True,True,0.9472420449459593
VALUE_REL_ERR>0.10,63221891,UPS,Crates,Essen,25900.0,25530.0,0.0,5.0,Transportation,30179,Krause,1,56,0,0,1475,kg,Non-automated,2018-08-23 00:00:01,2018-10-18 00:00:01,IT,7493.0,5.08,25900.0,27195.0,True,370.0,-56,False,True,0.9422248335291814
VALUE_REL_ERR>0.10,69566293,DHL,Crates,Essen,99790.0,101095.0,-10.0,10.0,Transportation,01653,Schweizer,1,18,0,0,6845,kg,Non-automated,2019-03-29 00:00:01,2019-04-16 00:00:01,US,26973.755,4.5,89811.0,109769.00000000001,False,0.0,-18,False,False,0.9407075742838145
VALUE_REL_ERR>0.10,69162294,DHL,Crates,Essen,36287.0,41800.0,-10.0,10.0,Transportation,01653,Schweizer,1,7,0,0,2830,kg,Non-automated,2019-09-02 00:00:01,2019-09-09 00:00:01,US,11521.969,4.63,32658.3,39915.700000000004,True,1884.2999999999956,-7,False,True,0.9404654014281728
VALUE_REL_ERR>0.10,69566893,DHL,Crates,Essen,54431.0,51480.0,0.0,5.0,Transportation,01653,Schweizer,1,5,0,0,3560,kg,Non-automated,2019-02-15 00:00:01,2019-02-20 00:00:01,US,14922.702,4.78,54431.0,57152.55,True,2951.0,-5,False,True,0.9393569505808
VALUE_REL_ERR>0.10,63277892,UPS,Crates,Essen,37000.0,38280.0,-10.0,10.0,Transportation,01653,Schweizer,1,0,0,1,3025,kg,Non-automated,2018-06-20 00:00:01,2018-06-20 00:00:01,US,13339.482,5.42,33300.0,40700.0,False,0.0,0,False,False,0.9357063991486311
VALUE_REL_ERR>0.10,69583398,DB Schenker,Crates,Essen,24995.0,24995.0,-10.0,10.0,Transportation,01615,Götz,1,-34,1,1,1685,kg,Non-automated,2019-05-29 00:00:01,2019-04-25 00:00:01,DE,5442.55,3.23,22495.5,27494.500000000004,False,0.0,34,True,True,0.9325865173034606
VALUE_REL_ERR>0.10,15312396,DHL,Crates,Essen,25000.0,26400.0,-5.0,5.0,Retail,13669,Klemm Herold AG,3,7,0,0,1870,kg,Non-automated,2018-02-09 00:00:01,2018-02-16 00:00:01,AU,11145.2,5.96,23750.0,26250.0,True,150.0,-7,False,True,0.9291666666666666
VALUE_REL_ERR>0.10,15426491,UPS,Pallets,Aachen,1383.0,1382.0,0.0,0.0,Retail,67555,Becker,1,0,0,1,102,kg,Non-automated,2019-02-04 00:00:01,2019-02-04 00:00:01,DE,1075.36,10.54,1383.0,1383.0,True,1.0,0,False,True,0.926174699374171
VALUE_REL_ERR>0.10,11730491,DHL,Crates,Essen,12000.0,9650.0,-20.0,20.0,Retail,13669,Klemm Herold AG,3,0,0,1,760,kg,Non-automated,2019-09-02 00:00:01,2019-09-02 00:00:01,AU,3503.6,4.61,9600.0,14400.0,False,0.0,0,False,False,0.9212435233160622
