CASE_KEY,has_violation,first_violation_between
15527191,True,Confirm sale -> Start production
15527691,True,Finished production -> Load shipment
15113491,True,Confirm sale -> Start production
15170191,True,Order received -> Confirm sale
15170195,True,Confirm sale -> Start production
15170196,True,Confirm sale -> Start production
15106391,False,
15106991,True,Confirm sale -> Start production
15107592,True,Order received -> Confirm sale
15121392,False,
15147292,False,
15617794,True,Confirm sale -> Start production
15619491,True,Order received -> Confirm sale
15619494,True,Confirm sale -> Start production
15631191,False,
15631193,False,
15631194,False,
156325912,True,Finished production -> Load shipment
15632593,True,Finished production -> Load shipment
15632596,True,Finished production -> Load shipment
15632599,True,Finished production -> Load shipment
15632891,False,
15632892,False,
15632894,False,
15632895,True,Confirm sale -> Start production
15632896,False,
15697191,False,
15683691,True,Confirm sale -> Start production
15683692,True,Finished production -> Load shipment
15625391,False,
15625091,True,Order received -> Confirm sale
15625093,True,Confirm sale -> Start production
15625094,True,Confirm sale -> Start production
15755591,True,Confirm sale -> Start production
15755991,False,
15753791,False,
15759394,True,Confirm sale -> Start production
15750191,False,
15752891,False,
15752892,False,
15752291,True,Start production -> Finished production
15752293,False,
15754691,False,
15754692,True,Confirm sale -> Start production
15754693,False,
15754694,False,
15711592,False,
15716491,True,Finished production -> Load shipment
15717892,False,
15710891,False,
15718491,False,
15712391,False,
15712393,True,Confirm sale -> Start production
15714991,False,
15714891,False,
15714892,False,
15714893,False,
15714291,True,Finished production -> Load shipment
15765691,False,
15765692,False,
15765791,False,
15765291,False,
15767191,False,
15760291,False,
15760491,True,Confirm sale -> Start production
15768191,False,
15768192,True,Confirm sale -> Start production
15762091,True,Confirm sale -> Start production
15762092,True,Confirm sale -> Start production
15762093,True,Confirm sale -> Start production
15762094,True,Confirm sale -> Start production
15762095,False,
15762096,False,
15762891,False,
15762892,False,
15762893,False,
15762894,True,Confirm sale -> Start production
15771891,False,
15771892,False,
15771893,True,Confirm sale -> Start production
15771291,True,Order received -> Confirm sale
15771491,True,Order received -> Confirm sale
15776591,True,Confirm sale -> Start production
15776592,True,Confirm sale -> Start production
15776593,True,Confirm sale -> Start production
15776691,False,
15776692,False,
15776693,False,
15777891,True,Confirm sale -> Start production
15773491,True,Confirm sale -> Start production
15779191,False,
15779691,True,Confirm sale -> Start production
15779891,False,
15779292,False,
15779492,False,
15779493,False,
15770491,True,Confirm sale -> Start production
15778591,True,Confirm sale -> Start production
15778191,False,
15778391,True,Confirm sale -> Start production
15778392,False,
15778393,True,Confirm sale -> Start production
15778394,False,
15772592,True,Confirm sale -> Start production
15772191,False,
15772192,True,Confirm sale -> Start production
15772691,False,
15772692,True,Confirm sale -> Start production
15772794,True,Confirm sale -> Start production
15772795,True,Finished production -> Load shipment
15772091,True,Confirm sale -> Start production
15772092,False,
15774292,False,
15735591,True,Confirm sale -> Start production
15735592,True,Confirm sale -> Start production
15735594,False,
15735191,True,Confirm sale -> Start production
15735192,True,Confirm sale -> Start production
15735193,True,Start production -> Finished production
15735194,False,
15735691,False,
15735693,False,
15735694,True,Start production -> Finished production
15735695,False,
15735791,False,
15735792,False,
15735793,True,Start production -> Finished production
15735794,True,Confirm sale -> Start production
15735991,False,
15735091,False,
15735093,False,
15736291,False,
15736292,False,
15736491,False,
15736492,False,
15737191,False,
15737691,False,
15737391,False,
15737991,False,
15737992,False,
15737091,True,Finished production -> Load shipment
15737891,False,
15737291,False,
15737491,False,
15733591,False,
15733191,False,
15733192,False,
15733691,False,
15733491,False,
15733492,False,
15739191,False,
15739192,False,
15739193,False,
15739194,False,
15739195,False,
15739196,False,
15739197,False,
15739198,False,
15739199,False,
15730791,False,
15730792,True,Confirm sale -> Start production
15730391,False,
15730991,False,
15730091,False,
15730891,False,
15732291,False,
15732292,False,
15732491,False,
15734591,True,Confirm sale -> Start production
15734592,True,Confirm sale -> Start production
15734791,True,Finished production -> Load shipment
15734792,False,
15734391,False,
15734392,False,
15734991,False,
15734992,True,Confirm sale -> Start production
15734091,True,Confirm sale -> Start production
15734092,False,
15734093,False,
15734094,True,Confirm sale -> Start production
15734291,False,
15734491,True,Finished production -> Load shipment
15734492,False,
15795591,True,Finished production -> Load shipment
15795592,False,
15795191,True,Finished production -> Load shipment
15795091,False,
15795891,False,
15795291,False,
15795491,False,
15791591,False,
15791191,False,
15791691,False,
15791791,False,
15791391,False,
15791991,True,Finished production -> Load shipment
15791091,False,
15791891,False,
15791291,False,
15791491,False,
15796591,False,
15796191,False,
15796691,True,Confirm sale -> Start production
15796791,False,
15796391,False,
15793691,False,
15793692,False,
15793791,False,
15793391,False,
15793392,False,
15793991,False,
15793992,True,Confirm sale -> Start production
15793993,False,
15793091,False,
15793092,False,
15793892,True,Finished production -> Load shipment
15793893,True,Finished production -> Load shipment
15793291,False,
15793292,False,
15793293,False,
15793491,False,
15793492,True,Confirm sale -> Start production
15799591,False,
15799592,True,Confirm sale -> Start production
15799691,False,
15799692,True,Finished production -> Load shipment
15799693,True,Finished production -> Load shipment
15799791,False,
15799792,False,
